t;x;y;z;a
292012036956153;-1.0598145;8.619705;4.129532;3
292012041900000;-1.0502319;8.723846;4.1247406;3
292012046874365;-1.0047455;8.711868;4.1427;3
292012051818213;-1.0286865;8.6927185;4.0936127;3
292012056731543;-1.0454407;8.720261;4.0601044;3
292012061675391;-1.0777588;8.709488;4.0852356;3
292012066619238;-1.0837555;8.701096;4.0648956;3
292012071563086;-1.0801544;8.727432;4.0361633;3
292012076476416;-1.0801544;8.715469;4.0732727;3
292012081389746;-1.0610046;8.719055;4.122345;3
292012086333594;-1.0394592;8.721451;4.1079865;3
292012091277442;-1.0358734;8.719055;4.1151733;3
292012096251807;-1.0478363;8.725037;4.1391144;3
292012101195654;-1.043045;8.708282;4.1786194;3
292012106139502;-1.0370636;8.721451;4.113968;3
292012111052832;-1.0047455;8.687927;4.106781;3
292012115996680;-1.00354;8.6927185;4.1151733;3
292012120940528;-0.99157715;8.702301;4.177414;3
292012125884375;-1.0214996;8.69751;4.1594543;3
292012130797705;-1.0286865;8.672363;4.1474915;3
292012135741553;-1.0203094;8.686737;4.1786194;3
292012140685401;-1.0466461;8.728638;4.184601;3
292012145598731;-1.0322723;8.709488;4.1355133;3
292012150542578;-1.0023499;8.748978;4.1307373;3
292012155486426;-1.0214996;8.721451;4.1630554;3
292012160430274;-1.0454407;8.744202;4.2300873;3
292012165374121;-1.0227051;8.774124;4.23967;3
292012170317969;-1.0143127;8.75856;4.23967;3
292012175261817;-1.0418549;8.747787;4.2504425;3
292012180175147;-1.0227051;8.726242;4.273178;3
292012185118994;-1.0310822;8.744202;4.343811;3
292012190062842;-1.0286865;8.754974;4.3294525;3
292012195006690;-1.0645905;8.753769;4.3102875;3
292012199950537;-1.074173;8.746597;4.3067017;3
292012204894385;-1.08255;8.740601;4.367752;3
292012209838233;-1.058609;8.770538;4.358185;3
292012214782080;-1.0250854;8.762146;4.367752;3
292012219725928;-1.0227051;8.744202;4.374939;3
292012224669776;-1.0813599;8.715469;4.407257;3
292012229613623;-1.0993195;8.720261;4.415634;3
292012234526953;-1.0969238;8.725037;4.347412;3
292012239470801;-1.1005096;8.735809;4.343811;3
292012244414649;-1.1040955;8.737015;4.33902;3
292012249358496;-1.1029053;8.742996;4.335434;3
292012254302344;-1.1148682;8.745392;4.3306427;3
292012259246192;-1.0669861;8.713074;4.3246613;3
292012264190039;-1.0681915;8.71666;4.288742;3
292012269103369;-1.0657959;8.733429;4.327057;3
292012274016699;-1.0681915;8.705887;4.304306;3
292012278960547;-1.0765686;8.719055;4.244461;3
292012283934912;-1.0753784;8.722641;4.2193146;3
292012288878760;-1.0945282;8.714264;4.197769;3
292012293822608;-1.08255;8.710678;4.2157288;3
292012298735938;-1.1005096;8.721451;4.2037506;3
292012303679785;-1.0921326;8.727432;4.22171;3
292012308623633;-1.0837555;8.734619;4.1786194;3
292012313567481;-1.0969238;8.721451;4.1474915;3
292012318480811;-1.0837555;8.73941;4.1786194;3
292012323424658;-1.1029053;8.687927;4.2025604;3
292012328368506;-1.0933228;8.691528;4.2037506;3
292012333312354;-1.0921326;8.708282;4.233673;3
292012338256201;-1.0885468;8.722641;4.182205;3
292012343200049;-1.0993195;8.741806;4.1570587;3
292012348143897;-1.1160736;8.728638;4.1151733;3
292012353087744;-1.1088867;8.744202;4.1367188;3
292012358031592;-1.16156;8.764542;4.078064;3
