t,x,y,z,a
292965493399334,-0.26254272,-0.21131897,9.785828,3
292965498343182,-0.18711853,-0.104766846,9.812164,3
292965503287029,-0.19430542,-0.24842834,9.400375,3
292965508230877,-0.19430542,-0.2137146,9.669708,3
292965513144207,-0.24099731,-0.23526001,10.003708,3
292965518088055,-0.1739502,-0.18258667,9.6362,3
292965523031902,-0.22662354,-0.13710022,9.457825,3
292965527945232,-0.28408813,-0.2544098,9.791824,3
292965532889080,-0.20626831,-0.19096375,9.898361,3
292965537832928,-0.22543335,-0.19096375,9.444656,3
292965542776775,-0.18832397,-0.13949585,9.559586,3
292965547690105,-0.23500061,-0.21131897,9.907944,3
292965552603436,-0.22303772,-0.27116394,9.682877,3
292965557547283,-0.18711853,-0.14666748,9.41832,3
292965562491131,-0.25894165,-0.19216919,9.743942,3
292965567434979,-0.22662354,-0.20532227,9.758301,3
292965572348309,-0.20866394,-0.21011353,9.65654,3
292965577292156,-0.2026825,-0.22209167,9.6744995,3
292965582236004,-0.18113708,-0.11553955,9.721191,3
292965587149334,-0.25056458,-0.2364502,9.65535,3
292965592093182,-0.20866394,-0.22567749,9.65654,3
292965597006512,-0.23381042,-0.2137146,9.699646,3
292965601950359,-0.23260498,-0.21250916,9.627823,3
292965606863689,-0.18232727,-0.15266418,9.643387,3
292965611777020,-0.24816895,-0.26997375,9.650558,3
292965616720867,-0.21585083,-0.21611023,9.668518,3
292965621664715,-0.22183228,-0.19335938,9.690063,3
292965626578045,-0.22303772,-0.16941833,9.657745,3
292965631521893,-0.24339294,-0.15266418,9.702042,3
292965636465740,-0.25775146,-0.2639923,9.682877,3
292965641379070,-0.19311523,-0.18856812,9.736755,3
292965646322918,-0.23022461,-0.15864563,9.7164,3
292965651266766,-0.23381042,-0.17660522,9.675705,3
292965656180096,-0.22782898,-0.20413208,9.660141,3
292965661123943,-0.24937439,-0.27236938,9.607468,3
292965666037273,-0.19670105,-0.17539978,9.651764,3
292965670981121,-0.24697876,-0.18737793,9.65535,3
292965675924969,-0.20986938,-0.21969604,9.6362,3
292965680838299,-0.20149231,-0.21730042,9.696045,3
292965685782146,-0.22543335,-0.2077179,9.680496,3
292965690695477,-0.21226501,-0.14906311,9.687668,3
292965695639324,-0.2529602,-0.2184906,9.7140045,3
292965700583172,-0.20028687,-0.21611023,9.681686,3
292965705496502,-0.22543335,-0.20413208,9.690063,3
292965710440350,-0.22662354,-0.20173645,9.690063,3
292965715384197,-0.1907196,-0.1275177,9.661331,3
292965720297527,-0.27331543,-0.2579956,9.643387,3
292965725241375,-0.20149231,-0.21131897,9.601486,3
292965730185223,-0.24339294,-0.16941833,9.664932,3
292965735098553,-0.24697876,-0.18377686,9.61824,3
292965740042400,-0.21226501,-0.22328186,9.651764,3
292965744955730,-0.25056458,-0.28074646,9.686478,3
292965749899578,-0.18232727,-0.16821289,9.693665,3
292965754812908,-0.23260498,-0.16223145,9.669708,3
292965759756756,-0.2601471,-0.21969604,9.678101,3
292965764700604,-0.20866394,-0.19335938,9.723587,3
292965769613934,-0.2529602,-0.23884583,9.644577,3
292965774557781,-0.20507812,-0.13589478,9.708023,3
292965779501629,-0.23500061,-0.20413208,9.664932,3
292965784414959,-0.21705627,-0.26039124,9.646973,3
292965789358807,-0.22183228,-0.23526001,9.643387,3
292965794302654,-0.23979187,-0.20173645,9.662537,3
292965799215984,-0.19430542,-0.121536255,9.65535,3
292965804159832,-0.23860168,-0.2532196,9.585922,3
292965809103680,-0.20986938,-0.24961853,9.585922,3
292965814017010,-0.19789124,-0.21011353,9.65654,3
292965818960857,-0.22662354,-0.2077179,9.668518,3
292965823874187,-0.2242279,-0.14787292,9.765488,3
292965828818035,-0.2637329,-0.23884583,9.725983,3
292965833761883,-0.19311523,-0.19815063,9.737946,3
292965838675213,-0.23022461,-0.15744019,9.666122,3
292965843619061,-0.23260498,-0.16462708,9.675705,3
292965848532391,-0.2242279,-0.18019104,9.657745,3
292965853476238,-0.2421875,-0.27236938,9.664932,3
292965858420086,-0.17036438,-0.17660522,9.712814,3
292965863333416,-0.21105957,-0.15864563,9.704437,3
292965868277264,-0.23022461,-0.24603271,9.61824,3
292965873190594,-0.21943665,-0.2077179,9.724777,3
292965878134441,-0.25775146,-0.2184906,9.6744995,3
292965883047771,-0.18353271,-0.13230896,9.681686,3
292965887961102,-0.22901917,-0.20054626,9.663727,3
292965892904949,-0.20747375,-0.23526001,9.651764,3
292965897848797,-0.21226501,-0.19216919,9.670914,3
292965902792645,-0.22183228,-0.2137146,9.6349945,3
292965907736492,-0.19190979,-0.13349915,9.685272,3
292965912649822,-0.27211,-0.23765564,9.661331,3
292965917563152,-0.23500061,-0.24961853,9.678101,3
292965922507000,-0.2242279,-0.18138123,9.702042,3
292965927450848,-0.27211,-0.17060852,9.644577,3
292965932364178,-0.21585083,-0.15504456,9.679291,3
292965937308025,-0.23260498,-0.24363708,9.65535,3
292965942251873,-0.17634583,-0.21969604,9.678101,3
292965947165203,-0.23500061,-0.18617249,9.717606,3
292965952109051,-0.2314148,-0.19694519,9.652954,3
292965957052898,-0.1954956,-0.19216919,9.728378,3
292965961966229,-0.23860168,-0.26878357,9.675705,3
292965966879559,-0.19670105,-0.18138123,9.703232,3
292965971853924,-0.24339294,-0.13470459,9.678101,3
292965976797771,-0.21705627,-0.18977356,9.650558,3
292965981741619,-0.23860168,-0.2137146,9.684082,3
292965986654949,-0.25056458,-0.25680542,9.6362,3
292965991598797,-0.20747375,-0.13589478,9.638596,3
292965996542645,-0.26254272,-0.19335938,9.638596,3
292966001455975,-0.24577332,-0.26878357,9.61705,3
292966006399822,-0.24577332,-0.20652771,9.621826,3
292966011343670,-0.22782898,-0.19454956,9.601486,3
292966016257000,-0.2026825,-0.14427185,9.698441,3
292966021200848,-0.2421875,-0.23526001,9.723587,3
292966026144695,-0.20028687,-0.20652771,9.787033,3
292966031058025,-0.20986938,-0.15864563,9.778656,3
292966036001873,-0.21824646,-0.17779541,9.698441,3
292966040915203,-0.21943665,-0.13470459,9.658936,3
292966045859051,-0.25056458,-0.25561523,9.644577,3
292966050802898,-0.20149231,-0.23526001,9.676895,3
292966055716229,-0.20388794,-0.17300415,9.694855,3
292966060660076,-0.20028687,-0.17779541,9.702042,3
292966065603924,-0.20149231,-0.18019104,9.757111,3
292966070517254,-0.2421875,-0.2364502,9.758301,3
292966075461102,-0.1799469,-0.16223145,9.7295685,3
292966080374432,-0.21943665,-0.16583252,9.688873,3
292966085318279,-0.2421875,-0.2137146,9.6744995,3
292966090262127,-0.2242279,-0.20532227,9.7140045,3
292966095205975,-0.2637329,-0.22328186,9.675705,3
292966100119305,-0.18711853,-0.14906311,9.652954,3
292966105063152,-0.23860168,-0.19454956,9.652954,3
292966109976482,-0.24577332,-0.25082397,9.6744995,3
292966114920330,-0.20986938,-0.17900085,9.703232,3
292966119864178,-0.24458313,-0.16462708,9.591904,3
292966124777508,-0.2134552,-0.15266418,9.680496,3
292966129721355,-0.24099731,-0.25201416,9.709213,3
292966134634686,-0.19909668,-0.2364502,9.666122,3
292966139578533,-0.21466064,-0.15026855,9.675705,3
292966144522381,-0.23381042,-0.19934082,9.6362,3
292966149435711,-0.18592834,-0.17779541,9.646973,3
292966154379559,-0.24099731,-0.24482727,9.669708,3
292966159323406,-0.2134552,-0.17060852,9.660141,3
292966164236736,-0.21824646,-0.119140625,9.660141,3
292966169180584,-0.23739624,-0.2244873,9.5954895,3
292966174093914,-0.2026825,-0.22328186,9.640991,3
292966179037762,-0.25056458,-0.23046875,9.657745,3
292966183981609,-0.19190979,-0.1275177,9.638596,3
292966188925457,-0.21705627,-0.1849823,9.69725,3
292966193838787,-0.23381042,-0.25920105,9.649368,3
292966198782635,-0.19909668,-0.23165894,9.7295685,3
292966203695965,-0.24577332,-0.19694519,9.662537,3
292966208639812,-0.18711853,-0.121536255,9.666122,3
292966213583660,-0.20626831,-0.18617249,9.698441,3
292966218496990,-0.21466064,-0.24961853,9.686478,3
292966223440838,-0.21105957,-0.14906311,9.758301,3
292966228354168,-0.26612854,-0.18138123,9.670914,3
292966233298016,-0.22303772,-0.18019104,9.650558,3
292966238241863,-0.24458313,-0.21969604,9.664932,3
292966243155193,-0.20507812,-0.22328186,9.668518,3
292966248099041,-0.22064209,-0.13949585,9.727173,3
292966253042889,-0.25775146,-0.20652771,9.648163,3
292966257956219,-0.22901917,-0.19096375,9.65654,3
292966262869549,-0.25535583,-0.24603271,9.668518,3
292966267813396,-0.23260498,-0.16223145,9.678101,3
292966272726727,-0.20866394,-0.13470459,9.668518,3
292966277670574,-0.24458313,-0.2077179,9.589508,3
292966282583904,-0.18232727,-0.19694519,9.667328,3
292966287527752,-0.20866394,-0.21611023,9.688873,3
292966292441082,-0.21466064,-0.15266418,9.703232,3
292966297384930,-0.24577332,-0.16223145,9.694855,3
292966302328777,-0.22782898,-0.24961853,9.645767,3
292966307272625,-0.1847229,-0.20173645,9.759491,3
292966312216473,-0.23381042,-0.1849823,9.742737,3
292966317160320,-0.20507812,-0.14906311,9.711609,3
292966322104168,-0.2421875,-0.20652771,9.709213,3
292966327017498,-0.2314148,-0.24482727,9.658936,3
292966331961346,-0.18353271,-0.15983582,9.699646,3
292966336874676,-0.21824646,-0.17060852,9.629013,3
292966341788006,-0.20507812,-0.17660522,9.633804,3
292966346701336,-0.23260498,-0.25082397,9.723587,3
292966351645184,-0.2242279,-0.20892334,9.688873,3
292966356558514,-0.19789124,-0.109558105,9.700836,3
292966361502361,-0.23739624,-0.21250916,9.642181,3
292966366446209,-0.1847229,-0.20652771,9.650558,3
292966371390057,-0.2529602,-0.23884583,9.741547,3
292966376333904,-0.21705627,-0.19934082,9.686478,3
292966381247234,-0.1799469,-0.17181396,9.698441,3
292966386191082,-0.2314148,-0.25201416,9.63739,3
292966391104412,-0.1954956,-0.1849823,9.704437,3
292966396048260,-0.24339294,-0.19694519,9.690063,3
292966400992107,-0.21226501,-0.16343689,9.65535,3
292966405905437,-0.21226501,-0.14906311,9.661331,3
292966410849285,-0.23979187,-0.2029419,9.611053,3
292966415793133,-0.18951416,-0.18856812,9.668518,3
292966420706463,-0.22303772,-0.18617249,9.645767,3
292966425619793,-0.19670105,-0.14906311,9.65535,3
292966430563641,-0.24339294,-0.21490479,9.63739,3
292966435507488,-0.25894165,-0.2544098,9.65654,3
292966440451336,-0.1739502,-0.15145874,9.725983,3
292966445364666,-0.22662354,-0.20892334,9.703232,3
292966450308514,-0.20986938,-0.1849823,9.673309,3
292966455252361,-0.2601471,-0.21011353,9.645767,3
292966460165691,-0.23500061,-0.18977356,9.65535,3
292966465109539,-0.17276001,-0.12512207,9.721191,3
292966470053387,-0.23860168,-0.20173645,9.684082,3
292966474966717,-0.19670105,-0.21250916,9.727173,3
292966479910564,-0.2026825,-0.23286438,9.664932,3
292966484823895,-0.20388794,-0.17060852,9.621826,3
292966489767742,-0.21226501,-0.12870789,9.720001,3
292966494711590,-0.2601471,-0.26159668,9.668518,3
292966499624920,-0.21105957,-0.18737793,9.687668,3
292966504568768,-0.24099731,-0.18377686,9.670914,3
292966509512615,-0.18232727,-0.15385437,9.626617,3
292966514425945,-0.19190979,-0.19096375,9.670914,3
292966519369793,-0.24099731,-0.2544098,9.657745,3
292966524283123,-0.20507812,-0.15744019,9.73555,3
292966529226971,-0.27571106,-0.1742096,9.686478,3
292966534140301,-0.23500061,-0.17300415,9.661331,3
292966539084148,-0.21226501,-0.20532227,9.679291,3
292966544027996,-0.22901917,-0.25082397,9.682877,3
292966548971844,-0.18232727,-0.16223145,9.725983,3
292966553885174,-0.25775146,-0.2029419,9.6362,3
292966558829021,-0.20986938,-0.18377686,9.668518,3
292966563772869,-0.23620605,-0.22088623,9.690063,3
292966568686199,-0.23979187,-0.19815063,9.643387,3
292966573630047,-0.20747375,-0.14427185,9.7140045,3
292966578543377,-0.25894165,-0.24961853,9.680496,3
292966583487225,-0.1799469,-0.22328186,9.692459,3
292966588431072,-0.22782898,-0.19216919,9.702042,3
292966593344402,-0.22303772,-0.15266418,9.6302185,3
292966598288250,-0.20149231,-0.14308167,9.686478,3
292966603201580,-0.2637329,-0.2424469,9.646973,3
292966608145428,-0.22064209,-0.195755,9.693665,3
292966613089275,-0.21105957,-0.16821289,9.693665,3
292966618002605,-0.21585083,-0.16583252,9.627823,3
292966622946453,-0.24099731,-0.20892334,9.651764,3
292966627890301,-0.24816895,-0.2424469,9.650558,3
292966632803631,-0.17755127,-0.15266418,9.723587,3
292966637747479,-0.20866394,-0.17660522,9.710419,3
292966642660809,-0.1954956,-0.20652771,9.658936,3
292966647574139,-0.21105957,-0.2244873,9.684082,3
292966652517986,-0.22662354,-0.2184906,9.685272,3
292966657461834,-0.17515564,-0.14187622,9.724777,3
292966662375164,-0.24458313,-0.2077179,9.686478,3
292966667319012,-0.21585083,-0.21490479,9.700836,3
292966672262859,-0.22543335,-0.21131897,9.745132,3
292966677176189,-0.2421875,-0.17181396,9.699646,3
292966682120037,-0.19311523,-0.13110352,9.690063,3
292966687063885,-0.25177002,-0.24482727,9.672104,3
292966691977215,-0.22183228,-0.19216919,9.700836,3
292966696921062,-0.2242279,-0.16343689,9.664932,3
292966701834393,-0.22543335,-0.18019104,9.6302185,3
292966706778240,-0.2026825,-0.17539978,9.710419,3
292966711722088,-0.26612854,-0.2867279,9.705627,3
292966716665936,-0.19670105,-0.17300415,9.699646,3
292966721609783,-0.22662354,-0.15266418,9.6744995,3
292966726553631,-0.23739624,-0.18019104,9.650558,3
292966731466961,-0.22901917,-0.19694519,9.670914,3
292966736410809,-0.24577332,-0.24005127,9.680496,3
292966741354656,-0.1739502,-0.14427185,9.7140045,3
292966746267986,-0.20986938,-0.15145874,9.657745,3
292966751211834,-0.21466064,-0.20413208,9.648163,3
292966756155682,-0.19789124,-0.19454956,9.73436,3
292966761069012,-0.2637329,-0.21969604,9.679291,3
292966766012859,-0.23979187,-0.13230896,9.680496,3
292966770956707,-0.24339294,-0.20532227,9.661331,3
292966775870037,-0.18951416,-0.24363708,9.709213,3
292966780813885,-0.22662354,-0.20652771,9.688873,3
292966785727215,-0.23739624,-0.15385437,9.657745,3
292966790671062,-0.1799469,-0.12870789,9.685272,3
292966795584393,-0.26852417,-0.2579956,9.650558,3
292966800497723,-0.19909668,-0.17779541,9.633804,3
292966805441570,-0.19311523,-0.15504456,9.711609,3
292966810385418,-0.24458313,-0.19096375,9.664932,3
292966815298748,-0.20747375,-0.19216919,9.696045,3
292966820242596,-0.25416565,-0.26757812,9.693665,3
292966825186443,-0.20149231,-0.15145874,9.703232,3
292966830130291,-0.22543335,-0.15266418,9.673309,3
292966835043621,-0.23739624,-0.23046875,9.685272,3
292966839987469,-0.21466064,-0.19694519,9.7295685,3
292966844900799,-0.2314148,-0.23165894,9.7140045,3
292966849844646,-0.18232727,-0.13589478,9.723587,3
292966854757977,-0.22901917,-0.19335938,9.672104,3
292966859701824,-0.23260498,-0.23765564,9.614655,3
292966864645672,-0.21226501,-0.21250916,9.693665,3
292966869559002,-0.2242279,-0.17539978,9.650558,3
292966874502850,-0.19190979,-0.13710022,9.669708,3
292966879416180,-0.2314148,-0.23405457,9.675705,3
292966884360027,-0.21943665,-0.25201416,9.679291,3
292966889303875,-0.19190979,-0.16343689,9.710419,3
292966894247723,-0.22064209,-0.14666748,9.658936,3
292966899161053,-0.23260498,-0.15145874,9.681686,3
292966904074383,-0.2529602,-0.24603271,9.669708,3
292966909018230,-0.1512146,-0.20892334,9.7140045,3
292966913962078,-0.20507812,-0.13230896,9.679291,3
292966918905926,-0.24577332,-0.19216919,9.638596,3
292966923849773,-0.1954956,-0.21250916,9.666122,3
292966928763104,-0.24816895,-0.25680542,9.61824,3
292966933706951,-0.1954956,-0.15744019,9.670914,3
292966938620281,-0.23260498,-0.1382904,9.675705,3
292966943564129,-0.21943665,-0.2364502,9.646973,3
292966948507977,-0.18951416,-0.2137146,9.710419,3
292966953451824,-0.2529602,-0.195755,9.691269,3
292966958395672,-0.2026825,-0.109558105,9.691269,3
292966963309002,-0.23022461,-0.20652771,9.666122,3
292966968222332,-0.20866394,-0.2472229,9.652954,3
292966973166180,-0.17874146,-0.18856812,9.757111,3
292966978079510,-0.22901917,-0.18377686,9.644577,3
292966982992840,-0.17634583,-0.1454773,9.657745,3
292966987936687,-0.2421875,-0.24482727,9.661331,3
292966992880535,-0.22662354,-0.22688293,9.675705,3
292966997793865,-0.19311523,-0.13110352,9.7164,3
292967002737713,-0.23381042,-0.18377686,9.626617,3
292967007651043,-0.1954956,-0.19335938,9.698441,3
292967012594891,-0.2314148,-0.25920105,9.63739,3
292967017538738,-0.19190979,-0.17539978,9.682877,3
292967022452068,-0.2026825,-0.111953735,9.694855,3
292967027395916,-0.25416565,-0.21730042,9.621826,3
292967032339764,-0.20149231,-0.21131897,9.670914,3
292967037283611,-0.22064209,-0.24005127,9.669708,3
292967042227459,-0.19789124,-0.16104126,9.687668,3
292967047140789,-0.23260498,-0.16104126,9.694855,3
292967052084637,-0.23260498,-0.22567749,9.629013,3
292967056997967,-0.1954956,-0.18617249,9.686478,3
292967061911297,-0.23022461,-0.17300415,9.6302185,3
292967066855145,-0.17036438,-0.15145874,9.691269,3
292967071768475,-0.24697876,-0.18977356,9.680496,3
292967076712322,-0.25056458,-0.24482727,9.688873,3
292967081656170,-0.18951416,-0.16821289,9.724777,3
292967086600018,-0.23860168,-0.1742096,9.608658,3
292967091543865,-0.22064209,-0.15744019,9.688873,3
