t;x;y;z;a;;;;
2,93206E+14;-22.150.116;60.483.246;11.465.363;3;;1654638160128;;
2,93206E+14;-19.648.132;58.891.144;11.500.076;3;;1654638160133;;
2,93206E+14;-1.836.731;57.394.714;11.161.301;3;;1654638160138;;
2,93206E+14;-11.208.649;6.160.858;10.888.367;3;;1654638160143;;
2,93206E+14;-0.60131836;62.805.634;10.726.761;3;;1654638160148;;
2,93206E+14;-0.4983673;599.086;10.486.145;3;;1654638160153;;
2,93206E+14;-0.63842773;5.705.948;10.932.663;3;;1654638160158;;
2,93206E+14;-0.9568634;55.730.743;11.993.286;3;;1654638160163;;
2,93206E+14;-11.579.742;5.567.093;12.541.565;3;;1654638160168;;
2,93206E+14;-10.598.145;5.571.884;12.491.287;3;;1654638160173;;
2,93206E+14;-0.7126465;5.465.332;12.865.982;3;;1654638160178;;
2,93206E+14;-0.106918335;53.204.803;13.585.434;3;;1654638160182;;
2,93206E+14;0.60894775;52.055.664;13.434.601;3;;1654638160187;;
2,93206E+14;12.398.224;51.469.116;130.898.285;3;;1654638160192;;
2,93206E+14;16.360.626;506.192;13.356.781;3;;1654638160197;;
2,93206E+14;1.867.096;49.757.233;13.434.601;3;;1654638160202;;
2,93206E+14;19.963.837;484.404;12.710.358;3;;1654638160207;;
2,93206E+14;21.101.074;47.434.845;124.410.095;3;;1654638160212;;
2,93206E+14;21.975.098;47.518.616;12.195.602;3;;1654638160217;;
2,93206E+14;21.496.124;4.864.395;11.774.216;3;;1654638160222;;
2,93206E+14;20.789.948;49.218.597;11.510.864;3;;1654638160227;;
2,93206E+14;20.143.433;4.954.178;11.288.193;3;;1654638160232;;
2,93206E+14;18.455.505;4.978.119;11.066.727;3;;1654638160237;;
2,93206E+14;1.475.647;49.015.045;11.073.914;3;;1654638160242;;
2,93206E+14;12.290.497;48.308.716;11.202.011;3;;1654638160247;;
2,93206E+14;12.254.639;47.267.303;11.251.083;3;;1654638160252;;
2,93206E+14;15.809.937;45.926.514;11.101.456;3;;1654638160257;;
2,93206E+14;2.095.749;44.813.232;10.865.616;3;;1654638160261;;
2,93206E+14;2.490.799;4.475.342;10.628.586;3;;1654638160266;;
2,93206E+14;27.625.275;4.477.722;10.370.026;3;;1654638160271;;
2,93206E+14;30.534.363;44.669.495;9.994.125;3;;1654638160276;;
2,93206E+14;34.353.027;4.543.564;9.582.321;3;;1654638160281;;
2,93206E+14;38.566.895;4.800.949;9.054.413;3;;1654638160286;;
2,93206E+14;41.523.743;5.030.792;8.689.285;3;;1654638160291;;
2,93206E+14;39.608.307;49.685.364;8.605.499;3;;1654638160296;;
2,93206E+14;3.843.521;4.890.732;8.763.504;3;;1654638160301;;
2,93206E+14;3.871.048;49.170.685;8.872.452;3;;1654638160306;;
2,93206E+14;40.242.767;4.871.582;9.071.167;3;;1654638160311;;
2,93206E+14;38.483.124;4.472.946;9.323.761;3;;1654638160316;;
2,93206E+14;4.424.103;50.559.235;9.407.547;3;;1654638160321;;
2,93206E+14;4.935.272;5.532.379;9.232.773;3;;1654638160326;;
2,93206E+14;43.187.714;5.105.011;88.832.245;3;;1654638160331;;
2,93206E+14;33.203.888;4.596.237;8.589.935;3;;1654638160336;;
2,93206E+14;26.943.054;45.579.376;8.360.092;3;;1654638160341;;
2,93206E+14;25.997.314;4.986.496;8.087.143;3;;1654638160345;;
2,93206E+14;26.763.458;53.121.033;77.770.996;3;;1654638160350;;
2,93206E+14;26.595.764;5.345.627;7.295.868;3;;1654638160355;;
2,93206E+14;2.566.208;52.606.354;6.498.596;3;;1654638160360;;
2,93206E+14;25.063.477;52.378.845;5.505.005;3;;1654638160365;;
2,93206E+14;2.646.408;5.421.051;45.353.546;3;;1654638160370;;
2,93206E+14;28.618.927;5.792.145;36.028.137;3;;1654638160375;;
2,93206E+14;2.875.061;6.062.683;27.803.955;3;;1654638160380;;
2,93206E+14;2.559.021;62.135.315;20.681.305;3;;1654638160385;;
2,93206E+14;2.080.185;63.523.865;14.276.733;3;;1654638160390;;
2,93206E+14;16.049.347;65.068.207;10.242.462;3;;1654638160395;;
2,93206E+14;11.560.211;66.492.767;0.6579437;3;;1654638160400;;
2,93206E+14;0.82562256;6.758.209;0.42570496;3;;1654638160405;;
2,93206E+14;0.5838165;69.102.325;0.22698975;3;;1654638160410;;
2,93206E+14;0.25460815;69.844.513;0.06059265;3;;1654638160415;;
2,93206E+14;0.03553772;7.069.458;-0.07348633;3;;1654638160420;;
2,93206E+14;-0.14163208;71.640.167;-0.060317993;3;;1654638160425;;
2,93206E+14;-0.3798523;7.240.631;0.018692017;3;;1654638160429;;
2,93206E+14;-0.6743469;7.280.136;0.1348114;3;;1654638160434;;
2,93206E+14;-10.442.505;73.052.826;0.27487183;3;;1654638160439;;
2,93206E+14;-13.614.807;7.280.136;0.4209137;3;;1654638160444;;
2,93206E+14;-1.623.642;72.585.907;0.70103455;3;;1654638160449;;
2,93206E+14;-1.750.534;7.302.887;0.95362854;3;;1654638160454;;
2,93206E+14;-17.900.391;7.430.969;0.9955292;3;;1654638160459;;
2,93206E+14;-17.900.391;7.622.513;0.78842163;3;;1654638160464;;
2,93206E+14;-18.223.572;7.723.068;0.25930786;3;;1654638160469;;
2,93206E+14;-18.894.043;76.608.124;-0.42903137;3;;1654638160474;;
2,93206E+14;-19.983.368;7.476.471;-12.239.075;3;;1654638160479;;
2,93206E+14;-2.086.914;74.740.753;-16.835.938;3;;1654638160484;;
2,93206E+14;-21.515.656;7.525.543;-19.553.375;3;;1654638160489;;
2,93206E+14;-23.885.956;7.512.375;-18.356.171;3;;1654638160494;;
2,93206E+14;-1.960.022;74.824.524;-17.218.933;3;;1654638160499;;
2,93206E+14;-0.98439026;74.441.376;-20.044.098;3;;1654638160504;;
2,93206E+14;-0.33676147;73.914.795;-2.230.667;3;;1654638160508;;
2,93206E+14;-0.027908325;72.334.595;-24.856.415;3;;1654638160513;;
2,93206E+14;0.14567566;71.640.167;-28.663.177;3;;1654638160518;;
2,93206E+14;0.21989441;70.526.886;-32.410.126;3;;1654638160523;;
2,93206E+14;0.21749878;6.789.337;-34.313.507;3;;1654638160528;;
2,93206E+14;0.19116211;65.139.923;-33.403.778;3;;1654638160533;;
2,93206E+14;0.16123962;6.290.146;-3.159.607;3;;1654638160538;;
2,93206E+14;0.08581543;60.914.154;-28.256.226;3;;1654638160543;;
2,93206E+14;-0.006362915;59.489.594;-24.832.458;3;;1654638160548;;
2,93206E+14;-0.114105225;58.651.733;-20.534.973;3;;1654638160553;;
2,93206E+14;-0.35351562;5.843.628;-16.309.204;3;;1654638160558;;
2,93206E+14;-0.55462646;5.828.064;-1.222.702;3;;1654638160563;;
2,93206E+14;-0.66716003;58.112.946;-0.8480072;3;;1654638160568;;
2,93206E+14;-0.7306061;571.434;-0.010040283;3;;1654638160573;;
2,93206E+14;-0.5534363;58.783.417;15.521.698;3;;1654638160578;;
2,93206E+14;-0.24697876;60.195.923;1.825.119;3;;1654638160583;;
2,93206E+14;-0.42056274;56.760.254;18.682.098;3;;1654638160587;;
2,93206E+14;-0.6072998;52.498.627;23.374.786;3;;1654638160592;;
2,93206E+14;-0.4660492;5.101.425;2.585.266;3;;1654638160597;;
2,93206E+14;-0.26612854;508.107;25.230.255;3;;1654638160602;;
2,93206E+14;-0.10093689;50.319.824;23.925.323;3;;1654638160607;;
2,93207E+14;0.13130188;50.200.195;2.390.152;3;;1654638160612;;
2,93207E+14;0.24862671;49.613.647;24.248.657;3;;1654638160617;;
2,93207E+14;0.40185547;49.254.456;23.805.695;3;;1654638160622;;
2,93207E+14;0.59698486;48.548.126;2.192.627;3;;1654638160627;;
2,93207E+14;0.7394409;476.503;20.381.927;3;;1654638160632;;
2,93207E+14;0.910614;47.506.714;18.730.011;3;;1654638160637;;
2,93207E+14;11.021.576;4.732.712;17.233.582;3;;1654638160642;;
2,93207E+14;12.051.086;47.267.303;17.676.544;3;;1654638160647;;
2,93207E+14;11.656.036;46.046.143;19.364.471;3;;1654638160652;;
2,93207E+14;11.284.943;4.495.682;22.141.724;3;;1654638160657;;
2,93207E+14;0.9644928;4.374.771;26.175.995;3;;1654638160662;;
2,93207E+14;0.79330444;43.592.224;31.802.368;3;;1654638160667;;
2,93207E+14;0.6113434;4.366.394;37.368.774;3;;1654638160671;;
2,93207E+14;0.32403564;4.373.581;4.153.473;3;;1654638160676;;
2,93207E+14;0.084625244;43.400.574;455.809;3;;1654638160681;;
2,93207E+14;-0.063827515;4.287.384;48.705.444;3;;1654638160686;;
2,93207E+14;-0.21466064;42.562.714;5.138.687;3;;1654638160691;;
2,93207E+14;-0.24458313;4.149.719;52.871.246;3;;1654638160696;;
2,93207E+14;-0.1847229;4.065.933;5.339.798;3;;1654638160701;;
2,93207E+14;-0.09854126;401.445;51.913.605;3;;1654638160706;;
2,93207E+14;-0.10571289;3.942.627;4.999.832;3;;1654638160711;;
2,93207E+14;-0.26612854;37.822.113;47.615.967;3;;1654638160716;;
2,93207E+14;-0.64082336;3.408.722;4.884.903;3;;1654638160721;;
