t,x,y,z,a
1179273577140447,-2.177353,4.6744537,8.523773,3
1179273582084295,-2.316208,4.682831,8.496246,3
1179273587028143,-2.3964233,4.6947937,8.344208,3
1179273591971990,-2.546051,4.8312683,8.120361,3
1179273596915838,-2.6944885,4.955765,8.006638,3
1179273601859686,-2.829773,5.0730743,7.9515686,3
1179273606803533,-2.889618,5.15448,7.8928986,3
1179273611747381,-2.8417358,5.271805,7.9156494,3
1179273616691229,-2.7519531,5.3567963,7.8294525,3
1179273621604559,-2.585556,5.348419,7.633133,3
1179273626548406,-2.3904266,5.3125,7.4296265,3
1179273631492254,-2.1019287,5.2945404,7.4440002,3
1179273636436102,-1.8661041,5.2993317,7.4846954,3
1179273641379949,-1.6410522,5.29335,7.4619446,3
1179273646293279,-1.3812714,5.308914,7.4344177,3
1179273651237127,-1.0772095,5.3627777,7.511032,3
1179273656180975,-0.7827301,5.344818,7.7229156,3
1179273661124822,-0.5492859,5.308914,8.169434,3
1179273666068670,-0.46669006,5.249054,8.509415,3
1179273671012518,-0.4223938,5.1760254,8.751221,3
1179273675956365,-0.35775757,5.098221,8.942764,3
1179273680900213,-0.27516174,4.99646,9.075638,3
1179273685813543,-0.2811432,4.8839417,9.110352,3
1179273690757391,-0.3386078,4.7534485,9.172607,3
1179273695701238,-0.46310425,4.6397247,9.218094,3
1179273700645086,-0.616333,4.651703,9.275558,3
1179273705588934,-0.78512573,4.73909,9.244431,3
1179273710532781,-0.96469116,4.842041,9.237244,3
1179273715476629,-1.1035461,4.909073,9.153458,3
1179273720420477,-1.2029114,4.9713287,9.052902,3
1179273725333807,-1.3405762,5.0539246,9.149857,3
1179273730277654,-1.4949951,5.087448,9.316254,3
1179273735221502,-1.7236481,5.178421,9.377304,3
1179273740165350,-1.9870148,5.379532,9.3785095,3
1179273745109197,-2.2994537,5.6117706,9.344986,3
1179273750053045,-2.482605,5.8440094,9.313858,3
1179273754996893,-2.52211,6.0331573,9.365341,3
1179273759940740,-2.4478912,6.078644,9.3390045,3
1179273764884588,-2.4814148,6.1588593,9.194153,3
1179273769797918,-2.4850006,6.170822,9.027756,3
1179273774741766,-2.4143677,6.130127,8.817062,3
1179273779685613,-2.2814941,6.078644,8.615952,3
1179273784629461,-2.0540466,5.9625244,8.393295,3
1179273789573309,-1.799057,5.836838,8.183807,3
1179273794517156,-1.5596466,5.6776123,8.064087,3
1179273799430487,-1.2747345,5.4609375,7.914459,3
1179273804374334,-0.9778595,5.229904,7.7492523,3
1179273809318182,-0.75279236,5.0539246,7.6510925,3
1179273814262029,-0.6498413,4.9270325,7.5517273,3
1179273819205877,-0.56484985,4.9306335,7.475113,3
1179273824149725,-0.5169678,4.933014,7.430832,3
1179273829093572,-0.4403534,4.9078827,7.241684,3
1179273834037420,-0.324234,4.929428,7.051346,3
1179273838981268,-0.23805237,4.937805,6.9795227,3
1179273843894598,-0.16023254,5.040756,7.0968323,3
1179273848838445,-0.16023254,5.2047577,7.229706,3
1179273853782293,-0.25720215,5.3735504,7.3111115,3
1179273858726141,-0.49183655,5.513611,7.435608,3
1179273863669988,-0.7372284,5.5698853,7.522995,3
1179273868613836,-1.0664368,5.5698853,7.526596,3
1179273873557684,-1.3800812,5.55072,7.4858856,3
1179273878501531,-1.6075287,5.450165,7.5050507,3
1179273883445379,-1.8289948,5.363983,7.597229,3
1179273888389227,-2.012146,5.2430725,7.743271,3
1179273893333074,-2.122284,5.071884,7.756439,3
1179273898246404,-2.1330566,4.8983,7.681015,3
1179273903190252,-2.000183,4.715149,7.4535675,3
1179273908134100,-1.8457489,4.572693,7.241684,3
1179273913077947,-1.6254883,4.430237,7.099228,3
1179273918021795,-1.2831116,4.367996,7.155487,3
1179273922935125,-1.0173645,4.419464,7.2404785,3
1179273927878973,-0.8090668,4.5511475,7.313507,3
1179273932822820,-0.71328735,4.711563,7.454773,3
1179273937736151,-0.6462555,4.8803406,7.5242004,3
1179273942679998,-0.58399963,4.9653473,7.5170135,3
1179273947623846,-0.5301361,5.039566,7.4380035,3
1179273952567694,-0.5109863,5.007248,7.336258,3
1179273957511541,-0.5385132,4.9234467,7.38533,3
1179273962455389,-0.46310425,4.8168945,7.502655,3
1179273967399237,-2.4215546,8.235825,-1.999939,3
1179273972343084,-1.3190308,5.2155304,5.3861694,3
1179273977256414,-0.31227112,3.363617,10.967056,3
1179273982200262,-0.92518616,3.7885895,8.206543,3
1179273987144110,-1.3908539,3.8328857,7.200989,3
1179273992087957,-1.9032135,3.9777374,7.162674,3
1179273997031805,-3.0655975,5.422638,3.0542297,3
1179274001975653,-3.2499542,5.2286987,5.471176,3
1179274006919500,-2.2108612,4.130966,11.448288,3
1179274011863348,-1.838562,4.4960785,10.750381,3
1179274016776678,-1.7296295,4.6732483,10.396042,3
1179274021720526,-2.0815735,4.900696,10.609131,3
1179274026664373,-3.0249023,5.1245575,10.819824,3
1179274031608221,-3.4857788,4.964142,11.242401,3
1179274036552069,-3.3253632,4.5702972,11.267532,3
1179274041495916,-3.2894592,4.2159576,10.892838,3
1179274046439764,-2.8920135,3.956192,10.587585,3
1179274051383612,-2.3868408,3.813736,10.129089,3
1179274056327459,-2.336563,3.858017,9.611938,3
1179274061271307,-2.537674,3.9885101,9.395264,3
1179274066215154,-3.1158752,4.030411,9.215698,3
1179274071159002,-3.2595215,3.7251434,9.070847,3
1179274076072332,-2.7495575,3.279831,8.959518,3
1179274081016180,-2.7794952,3.0188599,8.69017,3
