Magnificacao;Municao;Label;Circ;Round;df;AR;Mun;Nova classificacao;Classificacao numerica;Classificacao morfometrica
800;7.62;GSR7.624.1MD3689-1-attrFilt;0,066;0,548;129,591;1,825;3;Arredondada e muito baixa circularidade;8;Irregular
800;5.56;GSR5.561-10ME2536-1-attrFilt;0,124;0,458;182,879;2,184;2;Sub arredondada e muito baixa circularidade;12;Irregular
800;5.56;GSR5.561-10ME2536-2-attrFilt;0,146;0,593;99,756;1,687;2;Arredondada e muito baixa circularidade;8;Irregular
800;5.56;GSR5.56mm2-10ME1632-1-attrFilt;0,071;0,448;183,903;2,232;2;Sub arredondada e muito baixa circularidade;12;Irregular
800;7.62;GSR7.621-1-MD54-1-attrFilt;0,136;0,524;169,285;1,910;3;Arredondada e muito baixa circularidade;8;Irregular
800;7.62;GSR7.623-10-MD460-1-attrFilt;0,217;0,723;119,526;1,384;3;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
800;5.56;Arma3MS5.5602008-1-attrFilt;0,286;0,286;134,647;3,495;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
1000;0.40;GSR0.405-10ME128-1-attrFilt;0,465;0,68;91,787;1,470;1;Arredondada e baixa circularidade;7;Regular nao esferica
1000;0.40;GSR0.405-10ME419-1-attrFilt;0,196;0,825;66,598;1,213;1;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;0.40;GSR0.405-10ME718-1-attrFilt;0,192;0,779;158,502;1,284;1;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10ME356-1-attrFilt;0,177;0,464;169,219;2,156;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.563-10-ME235-1-attrFilt;0,415;0,97;90,901;1,030;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.562-10TORAX18-1-attrFilt;0,404;0,917;50,808;1,091;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.563-10-ME741-1-attrFilt;0,504;0,843;90,202;1,186;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.564-1MD93-1-attrFilt;0,409;0,839;93,857;1,192;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.56mm1-10MD1747-1-attrFilt;0,289;0,627;102,2;1,595;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm1-10MD79-1-attrFilt;0,265;0,678;88,499;1,476;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;5.56;GSR5.56mm1-10MD753-1-attrFilt;0,544;0,725;61,185;1,380;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm1-10MD757-1-attrFilt;0,186;0,787;101,001;1,270;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm1-10MD838-1-attrFilt;0,35;0,872;130,497;1,147;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.56mm1-10MD1793-1-attrFilt;0,233;0,806;68,012;1,241;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm1-10MD2014-1-attrFilt;0,163;0,794;115,983;1,260;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm2-10MD940-1-attrFilt;0,26;0,658;124,337;1,521;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;5.56;GSR5.56mm2-10ME395-1-attrFilt;0,323;0,466;82,15;2,147;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
1000;5.56;GSR5.56mm2-10ME834-1-attrFilt;0,218;0,511;70,138;1,955;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm3-10MD58-1-attrFilt;0,194;0,758;100,783;1,319;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm3-10MD324-1-attrFilt;0,259;0,528;64,783;1,893;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm3-10MD397-1-attrFilt;0,173;0,677;141,646;1,477;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;5.56;GSR5.56mm3-10MD424-1-attrFilt;0,407;0,863;80,342;1,159;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;7.62;GSR7.624-10ME599-1-attrFilt;0,459;0,638;104,978;1,569;3;Arredondada e baixa circularidade;7;Regular nao esferica
1000;7.62;GSR7.623-10-MD235-1-attrFilt;0,415;0,97;90,901;1,030;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;7.62;GSR7.623-10-MD741-1-attrFilt;0,504;0,843;90,202;1,186;3;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;7.62;GSR7.624-1ME445-1-attrFilt;0,256;0,65;105,534;1,539;3;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;9;GSR9mm2-10MD146-1-attrFilt;0,274;0,906;79,022;1,104;4;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;0.40;GSRMAOSUJAA30.4018791-1-attrFilt;0,592;0,574;72,391;1,743;1;Arredondada e baixa circularidade;7;Regular Semi-esferica
1000;5.56;A2MS5.56(1)-1-attrFilt;0,527;0,659;83,103;1,518;2;Arredondada e baixa circularidade;7;Regular Semi-esferica
1000;5.56;A2MS5.56(3)-1-attrFilt;0,631;0,68;107,829;1,470;2;Arredondada e Moderadamente circular;6;Regular Semi-esferica
1000;5.56;GSR5.561-10-ME1276-1-attrFilt;0,136;0,816;72,3;1,225;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10-ME1613-1-attrFilt;0,101;0,77;121,703;1,299;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10-ME1977-1-attrFilt;0,203;0,872;81,764;1,146;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10-ME3218-1-attrFilt;0,098;0,438;145,73;2,285;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.561-10-ME4035-1-attrFilt;0,185;0,773;77,144;1,293;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10-ME4784-1-attrFilt;0,609;0,832;70,734;1,202;2;Muito arredondado e Moderamente circular;2;Regular nao esferica
1000;5.56;GSR5.56-2-1-MD147-1-attrFilt;0,261;0,83;100,845;1,204;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56-2-1-MD757-1-attrFilt;0,288;0,786;90,414;1,273;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.56-2-1-MD1887-1-attrFilt;0,136;0,949;105,476;1,054;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.563-10-ME516-1-attrFilt;0,176;0,47;88,291;2,126;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.56mm1-10MD826-1-attrFilt;0,526;0,768;199,379;1,302;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm1-10MD1277-1-attrFilt;0,199;0,38;91,747;2,633;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.56mm1-10MD138-1-attrFilt;0,188;0,665;136,325;1,505;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;5.56;GSR5.56mm2-10MD837-1-attrFilt;0,547;0,891;101,845;1,122;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm2-10ME882-1-attrFilt;0,28;0,432;54,445;2,317;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
1000;5.56;GSR5.56mm2-10ME987-1-attrFilt;0,071;0,631;74,846;1,585;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm2-10ME1068-1-attrFilt;0,143;0,542;75,566;1,845;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm2-10ME1069-1-attrFilt;0,261;0,77;49,979;1,299;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm4-10MD41-1-attrFilt;0,527;0,862;65,118;1,160;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm4-10MD257-1-attrFilt;0,583;0,885;73,305;1,130;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm5-10MD1263-1-attrFilt;0,333;0,949;125,877;1,054;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.56mm5-10MD1850-1-attrFilt;0,062;0,439;144,03;2,278;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.56mm5-10ME18-1-attrFilt;0,644;0,843;63,055;1,187;2;Muito arredondado e Moderamente circular;2;Regular nao esferica
